Author Name,Tweet,Friends,CreatedAt,Id,Favorite Count,Retweet Count,Company,Source
Greg5thTrad,"Money Flows--Selling on Strength: Among stocks that were â¬†ï¸ Wednesday, these had some of the largest net outflows oâ€¦",78,3/8/18 1:23,9.71557E+17,0,0,GOOGLE,Twitter
Tracy I,RT @WallStJesus: BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,184,3/8/18 1:23,9.71557E+17,0,11,GOOGLE,Twitter
JE$US,BULL LAYS HEFTY WOOD IN $GOOGL CALLS | U,9065,3/8/18 1:22,9.71557E+17,11,11,GOOGLE,Twitter
real aloy,@reckless There are 7 patents that have been detailed in a 107 page lawsuit filed by BlackBerry against Facebook. Oâ€¦,128,3/8/18 1:14,9.71555E+17,4,1,GOOGLE,Twitter
@filingBot,@alemorandi77 there is a new form 4 filing for $GOOGL What do you think?,84,3/8/18 0:51,9.71549E+17,0,0,GOOGLE,Twitter
@filingBot,@Maniacaveli there is a new form 4 filing for $GOOGL What do you think?,84,3/8/18 0:51,9.71549E+17,0,0,GOOGLE,Twitter
Steven Goh,"Who Will Win When Facebook Advertisers Flee?$FB, $GOOG, $GOOGL, $AMZN, $PG, $UL",813,3/8/18 0:50,9.71549E+17,0,0,GOOGLE,Twitter
Stock Call,RT @NYCPunter: Tariff just got flipped to Bullish. We saw it in the room thanks to Steve D and destroyed SPX calls $GOOGL $BKNG and $BABA.â€¦,13,3/8/18 0:44,9.71547E+17,0,2,GOOGLE,Twitter
SlammingPicks,"Join the top trading room in the business #NASDAQ, #NYSE, #DayTrading, #daytraders, #CNBC,â€¦",5873,3/8/18 0:44,9.71547E+17,0,0,GOOGLE,Twitter
PW,RT @OptionsMike: $GOOGL can't loose track of this one. Big gap ahead if markets break to the upside,2329,3/8/18 0:38,9.71546E+17,0,1,GOOGLE,Twitter
dailystockplays.com,Big Call Buyers $DKS $PTC $CZR $CLDR $ATVI $SINA $APD $KHC $CSCO $GM $GOOGL $AMBC $ON $ROST $CELG $LVS $IBM $MA,15,3/8/18 0:38,9.71546E+17,0,0,GOOGLE,Twitter
Options Mike,$GOOGL can't loose track of this one. Big gap ahead if markets break to the upside,92,3/8/18 0:37,9.71545E+17,9,1,GOOGLE,Twitter
